,Genre,Occurences,Selected
0,Drama,21823,False
1,Comedy,11570,False
2,Documentary,8990,False
3,Action,6434,False
4,Thriller,5692,False
5,Crime,5136,False
6,Romance,5127,False
7,Adventure,4069,False
8,Horror,4059,False
9,Mystery,2460,False
10,Biography,2088,False
11,Fantasy,2076,False
12,Family,1897,False
13,Sci-Fi,1817,False
14,Animation,1693,False
15,History,1498,False
16,Music,1266,False
17,War,842,False
18,Adult,722,False
19,Sport,635,False
20,Musical,439,False
21,Western,165,False
22,News,60,False
23,Reality-TV,4,False
24,Talk-Show,2,False
25,Short,2,False
26,Game-Show,1,False
