,tconst,startYear,runtimeMinutes,genres,title
0,tt0013274,2021,94,['Documentary'],Histoire de la guerre civile
1,tt0035423,2001,118,"['Comedy', 'Fantasy', 'Romance']",Kate et Léopold
2,tt0036606,1983,118,"['Drama', 'War']",Les Coeurs captifs
3,tt0038687,1980,58,"['Documentary', 'War']",Que la lumière soit
4,tt0059325,1990,100,"['Drama', 'Romance']",Génération 45
5,tt0062181,1981,80,['Drama'],Haut les mains!
6,tt0062336,2020,70,['Drama'],El Tango del Viudo y Su Espejo Deformante
7,tt0064820,1989,81,"['Comedy', 'Crime']",Harry Plotnick seul contre tous
8,tt0065530,1983,108,['Drama'],Le cercle des passions
9,tt0066151,1986,92,"['Action', 'Adventure']",Ninja invasion
10,tt0067100,1981,77,"['Action', 'Drama', 'Thriller']",Attaque à mains nues
11,tt0067625,1986,96,"['Drama', 'War']",La vérification
12,tt0069049,2018,122,['Drama'],De l'autre côté du vent
13,tt0073537,1982,95,"['Crime', 'Drama', 'Horror']",Déclics
14,tt0073706,1981,94,"['Documentary', 'Horror']",Shocking Asia - L'Asie interdite
15,tt0075035,1982,93,"['Horror', 'Sci-Fi']",Panique
16,tt0075745,1985,88,['Drama'],Au-delà de la raison
17,tt0075816,1981,88,['Comedy'],Rosa
18,tt0076043,1980,139,['Drama'],Fontamara
19,tt0076276,1980,86,"['Adventure', 'Comedy', 'Drama']",Qui chante là-bas?
20,tt0076396,1983,93,['Action'],Le liquidateur
21,tt0076709,1980,96,"['Action', 'Crime', 'Mystery']",Le jeu de la mort II
22,tt0076733,1981,115,['Documentary'],Sois belle et tais-toi
23,tt0077428,1980,95,"['Comedy', 'Crime']",2 affreux sur le sable
24,tt0077472,1981,87,"['Action', 'Drama']",Dragon 'Bruce' Lee - Part II
25,tt0077567,1980,90,['Horror'],L'auberge du dragon volant
26,tt0077645,1980,88,"['Action', 'Thriller']",L'implacable Défi
27,tt0077722,1982,170,"['Biography', 'Drama', 'Romance']",L'île des amours
28,tt0077731,1982,90,['Comedy'],Emanuelle in the Country
29,tt0078053,1980,96,['Thriller'],Deux espionnes avec un petit slip à fleurs
30,tt0078178,1982,100,"['Comedy', 'Drama']",Le rose et le blanc
31,tt0078349,1981,75,"['Adventure', 'Animation', 'Family']",Le Lac des Cygnes
32,tt0078356,1980,119,['Drama'],Tusk
33,tt0078393,1983,89,"['Action', 'Mystery']",Bastard Swordsman
34,tt0078428,1980,101,"['Action', 'Drama']",Shaolin contre Wu Tong
35,tt0078749,1980,92,"['Adventure', 'Horror', 'Sci-Fi']",Le monstre attaque
36,tt0078765,1980,91,"['Comedy', 'Drama']",American Success
37,tt0078785,1980,90,['Drama'],Anthracite
38,tt0078806,1980,101,"['Horror', 'Thriller']",Les 13 marches de l'angoisse
39,tt0078813,1980,125,['Comedy'],L'avare
40,tt0078853,1980,89,"['Comedy', 'Crime']","Car-Napping - Bestellt, geklaut, geliefert"
41,tt0078868,1980,105,['Drama'],Confiance
42,tt0078871,1981,90,"['Drama', 'Horror']",Exorcisme noir
43,tt0078880,1980,78,"['Crime', 'Horror', 'Thriller']",Le tueur de Manhattan
44,tt0078895,1980,87,"['Drama', 'Thriller']",Un flic de choc
45,tt0078923,1980,105,['Comedy'],"C'est pas moi, c'est lui"
46,tt0078926,1980,108,['Comedy'],Le larron
47,tt0078935,1980,95,"['Adventure', 'Horror']",Terreur en Amazonie
48,tt0078936,1980,90,['Horror'],Les Cannibales
49,tt0078962,1980,120,['Drama'],Le cheval d'orgueil
50,tt0079007,1980,88,"['Drama', 'History']",Le crime de Cuenca
51,tt0079090,1980,101,"['Drama', 'Music']",Le Chef d'orchestre
52,tt0079104,1980,91,"['Crime', 'Drama']",Secrets érotiques d'Emmanuelle
53,tt0079106,1980,141,"['Action', 'Drama', 'Romance']",L'empreinte des géants
54,tt0079115,1980,93,"['Adventure', 'Crime', 'Thriller']",Les évadées
55,tt0079145,1980,103,"['Drama', 'Thriller']",La femme flic
56,tt0079193,1980,96,"['Comedy', 'Drama']",Le garage
57,tt0079197,1980,80,"['Action', 'Adventure']",Le corps et le fouet
58,tt0079198,1980,108,"['Comedy', 'Drama']",Das gefrorene Herz
59,tt0079252,1980,108,"['Action', 'Comedy']",Le guignolo
60,tt0079260,1980,87,"['Drama', 'Thriller']",Haine
61,tt0079285,1980,88,"['Adventure', 'Horror', 'Sci-Fi']",Saturn 3
62,tt0079293,1980,122,"['Adventure', 'Animation', 'Drama']",Les vengeurs de l'espace
63,tt0079323,1982,87,['Thriller'],Je suis ton tueur
64,tt0079342,1980,88,['Comedy'],La baigneuse fait des vagues
65,tt0079358,1982,90,"['Action', 'Drama']",La Conspiration de Shaolin
66,tt0079497,1980,96,"['Adventure', 'Drama', 'War']",La légion saute sur Kolwezi
67,tt0079507,1980,90,"['Action', 'Drama']",Le champion du kung-fu
68,tt0079509,1983,90,"['Action', 'Adventure', 'Comedy']",La mission fantastique
69,tt0079579,1980,150,"['Comedy', 'Drama', 'Romance']",Moscou ne croit pas aux larmes
70,tt0079617,1980,120,['Drama'],La vérité sur l'affaire Savolta
71,tt0079619,1980,140,"['Comedy', 'Drama', 'History']",Quelques jours de la vie d'Oblomov
72,tt0079624,1980,88,['Comedy'],Les bourgeoises de l'amour
73,tt0079630,1980,102,"['Comedy', 'Crime']",Le casse de Berkeley Square
74,tt0079718,1980,108,"['Action', 'Comedy', 'Crime']",Pied-plat sur le Nil
75,tt0079735,1980,87,"['Action', 'Crime', 'Drama']",Un flic rebelle
76,tt0079744,1980,75,['Drama'],En découvrant le vaste monde
77,tt0079746,1980,103,['Drama'],Le prix de la survie
78,tt0079749,1980,138,"['Action', 'Adventure', 'Family']",Ali Bab et les 40 voleurs
79,tt0079765,1980,137,['Comedy'],Mon curé va en boîte
80,tt0079788,1980,84,"['Adventure', 'Horror', 'Mystery']",La Terreur des zombies
81,tt0079820,1980,83,"['Animation', 'Family', 'Fantasy']",Le roi et l'oiseau
82,tt0079845,1980,120,"['Drama', 'Romance']",Le saut dans le vide
83,tt0079854,1980,87,['Drama'],Sauve qui peut (la vie)
84,tt0079891,1982,100,"['Action', 'Comedy', 'Drama']",Le Temple de Shaolin
85,tt0079899,1982,100,"['Action', 'Romance']",Le Chasseur d'aigles et le fils prodigue
