,level_0,index,tconst,isAdult,startYear,runtimeMinutes,genres,title
0,0,0,tt0013274,0,2021,94,['Documentary'],Histoire de la guerre civile
1,2,3,tt0035423,0,2001,118,"['Comedy', 'Fantasy', 'Romance']",Kate et Léopold
2,3,4,tt0036606,0,1983,118,"['Drama', 'War']",Les Coeurs captifs
3,4,5,tt0038687,0,1980,58,"['Documentary', 'War']",Que la lumière soit
4,5,6,tt0059325,0,1990,100,"['Drama', 'Romance']",Génération 45
5,6,7,tt0062181,0,1981,76,['Drama'],Haut les mains!
6,7,8,tt0062336,0,2020,70,['Drama'],El Tango del Viudo y Su Espejo Deformante
7,8,9,tt0064820,0,1989,81,"['Comedy', 'Crime']",Harry Plotnick seul contre tous
8,9,10,tt0065530,0,1983,108,['Drama'],Le cercle des passions
9,10,11,tt0066151,0,1986,92,"['Action', 'Adventure']",Ninja invasion
10,11,13,tt0067100,0,1981,77,"['Action', 'Drama', 'Thriller']",Attaque à mains nues
11,12,14,tt0067625,0,1986,96,"['Drama', 'War']",La vérification
12,13,17,tt0069049,0,2018,122,['Drama'],De l'autre côté du vent
13,14,21,tt0073537,0,1982,95,"['Crime', 'Drama', 'Horror']",Déclics
14,15,22,tt0073706,0,1981,94,"['Documentary', 'Horror']",Shocking Asia - L'Asie interdite
15,16,23,tt0075035,0,1982,93,"['Horror', 'Sci-Fi']",Panique
16,17,27,tt0075745,0,1985,88,['Drama'],Au-delà de la raison
17,18,28,tt0075816,0,1981,88,['Comedy'],Rosa
18,19,30,tt0076043,0,1980,139,['Drama'],Fontamara
19,20,31,tt0076276,0,1980,86,"['Adventure', 'Comedy', 'Drama']",Qui chante là-bas?
20,21,32,tt0076396,0,1983,93,['Action'],Le liquidateur
21,22,33,tt0076709,0,1980,96,"['Action', 'Crime', 'Mystery']",Le jeu de la mort II
22,23,34,tt0076733,0,1981,115,['Documentary'],Sois belle et tais-toi
23,24,37,tt0077428,0,1980,95,"['Comedy', 'Crime']",2 affreux sur le sable
24,25,41,tt0077472,0,1981,87,"['Action', 'Drama']",Dragon 'Bruce' Lee - Part II
25,26,43,tt0077567,0,1980,90,['Horror'],L'auberge du dragon volant
26,27,44,tt0077645,0,1980,87,"['Action', 'Thriller']",L'implacable Défi
27,28,47,tt0077722,0,1982,170,"['Biography', 'Drama', 'Romance']",L'île des amours
28,29,48,tt0077731,0,1982,90,['Comedy'],Emanuelle in the Country
29,30,49,tt0078053,0,1980,96,['Thriller'],Deux espionnes avec un petit slip à fleurs
30,31,51,tt0078178,0,1982,100,"['Comedy', 'Drama']",Le rose et le blanc
31,32,53,tt0078349,0,1981,75,"['Adventure', 'Animation', 'Family']",Le Lac des Cygnes
32,33,54,tt0078356,0,1980,119,['Drama'],Tusk
33,34,56,tt0078393,0,1983,89,"['Action', 'Mystery']",Bastard Swordsman
34,35,57,tt0078428,0,1980,101,"['Action', 'Drama']",Shaolin contre Wu Tong
35,36,58,tt0078726,0,1980,\N,"['Action', 'Mystery']",Les tigres de la huitième escorte
36,37,59,tt0078733,1,1981,83,['Adult'],Adolescentes au pensionnat
37,38,61,tt0078749,0,1980,92,"['Adventure', 'Horror', 'Sci-Fi']",Le monstre attaque
38,39,62,tt0078765,0,1980,91,"['Comedy', 'Drama']",American Success
39,40,63,tt0078785,0,1980,90,['Drama'],Anthracite
40,41,64,tt0078806,0,1980,101,"['Horror', 'Thriller']",Les 13 marches de l'angoisse
41,42,65,tt0078813,0,1980,125,['Comedy'],L'avare
42,43,66,tt0078853,0,1980,89,"['Comedy', 'Crime']","Car-Napping - Bestellt, geklaut, geliefert"
43,44,67,tt0078868,0,1980,105,['Drama'],Confiance
44,45,68,tt0078871,0,1981,90,"['Drama', 'Horror']",La reine de la magie noire
45,46,70,tt0078880,0,1980,78,"['Crime', 'Horror', 'Thriller']",Le tueur de Manhattan
46,47,71,tt0078895,0,1980,87,"['Drama', 'Thriller']",Un flic de choc
47,48,73,tt0078923,0,1980,105,['Comedy'],"C'est pas moi, c'est lui"
48,49,74,tt0078926,0,1980,108,['Comedy'],Le larron
49,50,75,tt0078935,0,1980,95,"['Adventure', 'Horror']",Terreur en Amazonie
50,51,77,tt0078936,0,1980,90,['Horror'],Les Cannibales
51,52,82,tt0078962,0,1980,120,['Drama'],Le cheval d'orgueil
52,53,84,tt0079007,0,1980,88,"['Drama', 'History']",Le crime de Cuenca
53,54,85,tt0079090,0,1980,101,"['Drama', 'Music']",Le Chef d'orchestre
54,55,86,tt0079104,0,1980,91,"['Crime', 'Drama']",Secrets érotiques d'Emmanuelle
55,56,87,tt0079106,0,1980,141,"['Action', 'Drama', 'Romance']",L'empreinte des géants
56,58,89,tt0079115,0,1980,93,"['Adventure', 'Crime', 'Thriller']",Les évadées
57,59,91,tt0079145,0,1980,103,"['Drama', 'Thriller']",La femme flic
58,60,92,tt0079193,0,1980,96,"['Comedy', 'Drama']",Le garage
59,61,93,tt0079197,0,1980,80,"['Action', 'Adventure']",Le corps et le fouet
60,62,96,tt0079198,0,1980,108,"['Comedy', 'Drama']",Das gefrorene Herz
61,63,97,tt0079252,0,1980,108,"['Action', 'Comedy']",Le guignolo
62,64,98,tt0079260,0,1980,87,"['Drama', 'Thriller']",Haine
63,65,101,tt0079285,0,1980,88,"['Adventure', 'Horror', 'Sci-Fi']",Saturn 3
64,66,102,tt0079293,0,1980,122,"['Adventure', 'Animation', 'Drama']",Les vengeurs de l'espace
65,67,104,tt0079323,0,1982,87,['Thriller'],Je suis ton tueur
66,68,105,tt0079342,0,1980,88,['Comedy'],La baigneuse fait des vagues
67,69,108,tt0079358,0,1982,90,"['Action', 'Drama']",La Conspiration de Shaolin
68,70,110,tt0079497,0,1980,96,"['Adventure', 'Drama', 'War']",La légion saute sur Kolwezi
69,71,111,tt0079507,0,1980,90,"['Action', 'Drama']",Le champion du kung-fu
70,72,112,tt0079509,0,1983,90,"['Action', 'Adventure', 'Comedy']",La mission fantastique
71,73,113,tt0079579,0,1980,150,"['Comedy', 'Drama', 'Romance']",Moscou ne croit pas aux larmes
72,74,114,tt0079617,0,1980,120,['Drama'],La vérité sur l'affaire Savolta
73,75,115,tt0079619,0,1980,140,"['Comedy', 'Drama', 'History']",Quelques jours de la vie d'Oblomov
74,76,116,tt0079624,0,1980,88,['Comedy'],Les bourgeoises de l'amour
75,77,117,tt0079630,0,1980,102,"['Comedy', 'Crime']",Le casse de Berkeley Square
76,78,119,tt0079642,1,1980,88,"['Adult', 'Horror']",Demonia
